Year,Month,Weekday,State,NumOfAccidents
2016,6,Saturday,WI,3
2016,6,Saturday,WV,1
2016,6,Sunday,AZ,3
2016,6,Sunday,CA,947
2016,6,Sunday,CO,5
2016,6,Sunday,CT,21
2016,6,Sunday,DE,3
2016,6,Sunday,FL,33
2016,6,Sunday,GA,36
2016,6,Sunday,IA,10
2016,6,Sunday,ID,9
2016,6,Sunday,IL,38
2016,6,Sunday,IN,5
2016,6,Sunday,KS,2
2016,6,Sunday,KY,2
2016,6,Sunday,LA,2
2016,6,Sunday,MA,4
2016,6,Sunday,MD,14
2016,6,Sunday,MI,24
2016,6,Sunday,MN,2
2016,6,Sunday,MO,10
2016,6,Sunday,NC,8
2016,6,Sunday,NE,20
2016,6,Sunday,NH,7
2016,6,Sunday,NJ,22
2016,6,Sunday,NV,4
2016,6,Sunday,NY,71
2016,6,Sunday,OH,24
2016,6,Sunday,OR,2
2016,6,Sunday,PA,19
2016,6,Sunday,RI,3
2016,6,Sunday,SC,7
2016,6,Sunday,TX,84
2016,6,Sunday,UT,3
2016,6,Sunday,VA,8
2016,6,Sunday,WA,18
2016,6,Sunday,WI,7
2016,6,Sunday,WV,2
2016,6,Thursday,AL,3
2016,6,Thursday,AR,1
2016,6,Thursday,AZ,23
2016,6,Thursday,CA,3042
2016,6,Thursday,CO,9
2016,6,Thursday,CT,75
2016,6,Thursday,DC,9
2016,6,Thursday,DE,7
2016,6,Thursday,FL,475
2016,6,Thursday,GA,206
2016,6,Thursday,IA,33
2016,6,Thursday,ID,10
2016,6,Thursday,IL,211
2016,6,Thursday,IN,15
2016,6,Thursday,KS,11
2016,6,Thursday,KY,17
2016,6,Thursday,LA,10
2016,6,Thursday,MA,92
2016,6,Thursday,MD,130
2016,6,Thursday,MI,186
2016,6,Thursday,MN,18
2016,6,Thursday,MO,54
2016,6,Thursday,MS,6
2016,6,Thursday,MT,1
2016,6,Thursday,NC,84
2016,6,Thursday,NE,147
2016,6,Thursday,NH,2
2016,6,Thursday,NJ,125
2016,6,Thursday,NM,1
2016,6,Thursday,NV,18
2016,6,Thursday,NY,288
2016,6,Thursday,OH,207
2016,6,Thursday,OK,4
2016,6,Thursday,OR,19
2016,6,Thursday,PA,279
2016,6,Thursday,RI,15
2016,6,Thursday,SC,51
2016,6,Thursday,TN,71
2016,6,Thursday,TX,611
2016,6,Thursday,UT,8
2016,6,Thursday,VA,71
2016,6,Thursday,WA,164
2016,6,Thursday,WI,19
2016,6,Thursday,WV,24
2016,6,Tuesday,AL,1
2016,6,Tuesday,AR,2
2016,6,Tuesday,AZ,25
2016,6,Tuesday,CA,2261
2016,6,Tuesday,CO,13
2016,6,Tuesday,CT,63
2016,6,Tuesday,DC,7
2016,6,Tuesday,DE,2
2016,6,Tuesday,FL,384
2016,6,Tuesday,GA,151
2016,6,Tuesday,IA,24
2016,6,Tuesday,ID,2
2016,6,Tuesday,IL,191
2016,6,Tuesday,IN,27
2016,6,Tuesday,KS,9
2016,6,Tuesday,KY,7
2016,6,Tuesday,LA,12
2016,6,Tuesday,MA,57
2016,6,Tuesday,MD,93
2016,6,Tuesday,MI,138
2016,6,Tuesday,MN,21
2016,6,Tuesday,MO,37
2016,6,Tuesday,MS,5
2016,6,Tuesday,NC,73
2016,6,Tuesday,NE,130
2016,6,Tuesday,NH,6
2016,6,Tuesday,NJ,118
2016,6,Tuesday,NM,1
2016,6,Tuesday,NV,8
2016,6,Tuesday,NY,265
2016,6,Tuesday,OH,166
2016,6,Tuesday,OK,4
2016,6,Tuesday,OR,3
2016,6,Tuesday,PA,235
2016,6,Tuesday,RI,24
2016,6,Tuesday,SC,37
2016,6,Tuesday,TN,40
2016,6,Tuesday,TX,517
2016,6,Tuesday,UT,8
2016,6,Tuesday,VA,90
2016,6,Tuesday,WA,132
2016,6,Tuesday,WI,26
2016,6,Tuesday,WV,9
2016,6,Wednesday,AL,1
2016,6,Wednesday,AR,1
2016,6,Wednesday,AZ,35
2016,6,Wednesday,CA,2546
2016,6,Wednesday,CO,6
2016,6,Wednesday,CT,72
2016,6,Wednesday,DC,7
2016,6,Wednesday,DE,4
2016,6,Wednesday,FL,468
2016,6,Wednesday,GA,169
2016,6,Wednesday,IA,29
2016,6,Wednesday,ID,7
2016,6,Wednesday,IL,205
2016,6,Wednesday,IN,18
2016,6,Wednesday,KS,8
2016,6,Wednesday,KY,17
2016,6,Wednesday,LA,8
2016,6,Wednesday,MA,73
2016,6,Wednesday,MD,113
2016,6,Wednesday,ME,1
2016,6,Wednesday,MI,160
2016,6,Wednesday,MN,24
2016,6,Wednesday,MO,40
2016,6,Wednesday,MS,5
2016,6,Wednesday,NC,88
2016,6,Wednesday,NE,157
2016,6,Wednesday,NH,2
2016,6,Wednesday,NJ,153
2016,6,Wednesday,NM,3
2016,6,Wednesday,NV,12
2016,6,Wednesday,NY,285
2016,6,Wednesday,OH,186
2016,6,Wednesday,OK,2
2016,6,Wednesday,OR,9
2016,6,Wednesday,PA,288
2016,6,Wednesday,RI,26
2016,6,Wednesday,SC,50
2016,6,Wednesday,TN,23
2016,6,Wednesday,TX,616
2016,6,Wednesday,UT,9
2016,6,Wednesday,VA,106
2016,6,Wednesday,WA,133
2016,6,Wednesday,WI,21
2016,6,Wednesday,WV,4
2016,6,Wednesday,WY,1
2016,7,Friday,AL,5
2016,7,Friday,AR,1
2016,7,Friday,AZ,94
2016,7,Friday,CA,2728
2016,7,Friday,CO,46
2016,7,Friday,CT,90
2016,7,Friday,DC,8
2016,7,Friday,FL,938
2016,7,Friday,GA,308
2016,7,Friday,IA,37
2016,7,Friday,ID,22
2016,7,Friday,IL,409
2016,7,Friday,IN,24
2016,7,Friday,KS,18
2016,7,Friday,KY,22
2016,7,Friday,LA,36
2016,7,Friday,MA,152
2016,7,Friday,MD,179
2016,7,Friday,ME,1
2016,7,Friday,MI,409
2016,7,Friday,MN,40
2016,7,Friday,MO,83
2016,7,Friday,MS,17
2016,7,Friday,NC,187
2016,7,Friday,NE,110
2016,7,Friday,NH,5
2016,7,Friday,NJ,159
2016,7,Friday,NM,6
2016,7,Friday,NV,45
2016,7,Friday,NY,473
2016,7,Friday,OH,182
2016,7,Friday,OK,6
2016,7,Friday,OR,25
2016,7,Friday,PA,551
2016,7,Friday,RI,21
2016,7,Friday,SC,62
2016,7,Friday,SD,1
2016,7,Friday,TN,37
2016,7,Friday,TX,1262
2016,7,Friday,UT,59
2016,7,Friday,VA,102
2016,7,Friday,WA,281
2016,7,Friday,WI,36
2016,7,Friday,WV,8
2016,7,Friday,WY,7
